_RowType_,_chk,GAESUL_YEAR,GAESUL_TERM,CAMPUS_GB,CAMPUS_NM,HAKWI_NAME,JUKYONGHAKWI_GB,GRADE_NAME,ISU_NAME,HAKSU_NO,BUNBAN,HAKSU_NO_BUNBAN,GWAMOK_NAME,GWAMOK_ENG_NAME,HAKJUM,PER_NAME,PER_ID,GYOSI_NAME,HYUNGTAE,BIGO,SUUP_TYPE_CD,SUUP_TYPE_NM,BOKSUJUNGONG_YN_NAME,ABEEK_YN,ISU_NAME2,ISU_NAME3,HAKBU_JIBJUNG_GB,HAKBU_JIBJUNG_GB_NM,LECTURE_PLAN_TYPE,ABK_PROGRAM,INTRO_URL,INFORM
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),AIM4003,41,AIM4003-41,자연어처리개론,Natural Language Processing Fundamentals,3(3),정윤경,151333,"【모듈D】화15:00-16:15【미지정】,화16:30-17:45【미지정】",일반수업,플립러닝으로 수업진행_6모듈D_후반 8주 집중수업 진행,33,플립러닝(온라인[사전제작]+오프라인),,,전공(대학원),,N,해당없음,1,,,*6모듈강좌(모듈D)
N,0,2026,20,2,자연과학,학사,01,,전공심화,CSE3036,41,CSE3036-41,컴퓨터공학세미나,Seminar in Computer Engineering,1(2),이종욱,227703,"월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ECE4249,41,ECE4249-41,컴퓨터비전,Computer Vision,3(3),이준호,197019,"화12:00-13:15【미지정】,화13:30-14:45【미지정】",일반수업,,,,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,EEE2008,41,EEE2008-41,신호및시스템,Signals and Systems,3(3),김상효,213427,"화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,EEE3011,41,EEE3011-41,디지털신호처리,Digital Signal Processing,3(3),김중규,192022,"화12:00-13:15【미지정】,목13:30-14:45【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,EEE3024,41,EEE3024-41,제어공학기초,Introduction to Automatic Control,3(3),박종구,195037,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공심화,EEE3032,41,EEE3032-41,통신시스템,Communication Systems,3(3),김상효,213427,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,EME2009,41,EME2009-41,동역학,Dynamics,3(3),문형필,213795,"화13:30-14:45【미지정】,목12:00-13:15【미지정】",일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공기반,EME2009,42,EME2009-42,동역학,Dynamics,3(3),김규남,239835,"화16:30-17:45【미지정】,목15:00-16:15【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,EME3022,41,EME3022-41,계측공학,Measurement Engineering,3(3),석지원,222394,"화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,"GNP, 강의저장"
