_RowType_,_chk,GAESUL_YEAR,GAESUL_TERM,CAMPUS_GB,CAMPUS_NM,HAKWI_NAME,JUKYONGHAKWI_GB,GRADE_NAME,ISU_NAME,HAKSU_NO,BUNBAN,HAKSU_NO_BUNBAN,GWAMOK_NAME,GWAMOK_ENG_NAME,HAKJUM,PER_NAME,PER_ID,GYOSI_NAME,HYUNGTAE,BIGO,SUUP_TYPE_CD,SUUP_TYPE_NM,BOKSUJUNGONG_YN_NAME,ABEEK_YN,ISU_NAME2,ISU_NAME3,HAKBU_JIBJUNG_GB,HAKBU_JIBJUNG_GB_NM,LECTURE_PLAN_TYPE,ABK_PROGRAM,INTRO_URL,INFORM
N,0,2026,10,2,자연과학,학사,01,,전공심화,CSE3036,41,CSE3036-41,컴퓨터공학세미나,Seminar in Computer Engineering,1(2),이종욱,227703,월15:00-15:50【미지정】/수17:00-17:50【미지정】,국제어수업,,32,온라인[사전제작],,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사/석사,04,,전공(대학원),ECE4272,41,ECE4272-41,심화융합캡스톤디자인,Advanced Convergence Capstone Design,3(3),조준동,195024,월15:00-16:15【21121】/월16:30-17:45【21121】,일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,EEE2008,41,EEE2008-41,신호및시스템,Signals and Systems,3(3),신지태,204247,수13:30-14:45【36203】【1.5h(ON)+1.5h(OFF)】,국제어수업,전자전기공학부 3학년 반제,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공기반,EEE2008,42,EEE2008-42,신호및시스템,Signals and Systems,3(3),이태진,202268,월12:00-13:15【21534】/수13:30-14:45【21534】,국제어수업,전자전기공학부 3학년 반제,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,EEE2008,43,EEE2008-43,신호및시스템,Signals and Systems,3(3),전병우,197304,월12:00-13:15【22211】/수13:30-14:45【22211】,국제어수업,전자전기공학부 3학년 반제,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공기반,EEE2008,44,EEE2008-44,신호및시스템,Signals and Systems,3(3),정민영,204282,월12:00-13:15【22410】/수13:30-14:45【22410】,국제어수업,전자전기공학부 3학년 반제,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공기반,EEE2008,45,EEE2008-45,신호및시스템,Signals and Systems,3(3),김중규,192022,월12:00-13:15【22409】/수13:30-14:45【22409】,국제어수업,전자전기공학부 비반제/ 반제대상자+타전공 수강불가,32,온라인[사전제작],,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공심화,EEE3012,41,EEE3012-41,디지털통신,Digital Communication,3(3),서효운,243857,화13:30-14:45【22312】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,EEE3024,41,EEE3024-41,제어공학기초,Introduction to Automatic Control,3(3),국태용,195027,화13:30-14:45【22211】/목12:00-13:15【22211】,일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공심화,EEE3024,42,EEE3024-42,제어공학기초,Introduction to Automatic Control,3(3),박종구,195037,화15:00-16:15【85718】/목16:30-17:45【85718】,일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공심화,EEE3024,43,EEE3024-43,제어공학기초,Introduction to Automatic Control,3(3),유관호,203114,월13:30-14:45【22410】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,https://lcms.skku.edu/em/6984348455758,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,EEE3032,41,EEE3032-41,통신시스템,Communication Systems,3(3),정민영,204282,화12:00-13:15【22211】/목13:30-14:45【22211】,일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,10,2,자연과학,학사,01,,전공기반,EME2009,41,EME2009-41,동역학,Dynamics,3(3),휴고로드리그,226572,화16:30-17:45【22312】/목15:00-16:15【22312】,국제어수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,GNP/ 강의저장
N,0,2026,10,2,자연과학,학사,01,,실험실습,EME3068,41,EME3068-41,스마트카융합종합설계,Smart Car Convergence Capstone Design,3(6),황성호,204284,화15:00-15:50【22301】/화16:00-16:50【22301】/화17:00-17:50【22301】/화18:00-18:50【22301】/화19:00-19:50【22301】/화20:00-20:50【22301】,일반수업,,34,PBL(온라인[사전제작]+오프라인),,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,ERC2008,41,ERC2008-41,기술경영개론,Introduction to Management of Technology,3(3),조근태,191664,금15:00-16:15【26421】/금16:30-17:45【26421】,일반수업,,31,오프라인,복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공기반,ERC2008,42,ERC2008-42,기술경영개론,Introduction to Management of Technology,3(3),조근태,191664,금12:00-13:15【미지정】/금13:30-14:45【미지정】,일반수업,,32,온라인[사전제작],복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공심화,ESM3019,41,ESM3019-41,생산관리,Operations Management,3(3),권대일,233312,월10:30-11:45【26513】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공심화,ESM3061,41,ESM3061-41,데이터마이닝,Data Mining,3(3),이수지,241979,화13:30-14:45【미지정】/목12:00-13:15【미지정】,일반수업,,32,온라인[사전제작],복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,10,2,자연과학,학사,01,,전공심화,ESM3074,41,ESM3074-41,차세대컴퓨터인터페이스설계,Next Generation Computing Interface Construction,3(3),이성일,198032,화15:00-16:15【26421】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,강의저장/ *플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사/석사,04,,전공(대학원),ESW4004,41,ESW4004-41,분산컴퓨팅원론,Principles of Distributed Computing,3(3),남범석,230171,화12:00-13:15【26312】/목13:30-14:45【26312】,국제어수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,강의저장
N,0,2026,10,2,자연과학,학사/석사,04,,전공(대학원),ESW4014,41,ESW4014-41,강화학습개론,Principles of Reinforcement Learning,3(3),,,월12:00-13:15【85602】/월13:30-14:45【85602】,일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,10,2,자연과학,학사/석사/박사,06,,전공(대학원),ESW7004,41,ESW7004-41,AI및데이터기밀연산특론,Special Topics on Confidential Computing for AI and Data,3(3),우사이먼성일,232184,목18:00-19:15【85613】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공(대학원),,N,해당없음,1,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공기반,ICE2001,41,ICE2001-41,논리회로,Logic Circuits,3(3),박준은,239811,수10:30-11:45【85702】【1.5h(ON)+1.5h(OFF)】,일반수업,전자전기공학부 2학년 반제,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,10,2,자연과학,학사,01,,전공기반,ICE2001,42,ICE2001-42,논리회로,Logic Circuits,3(3),박종구,195037,월09:00-10:15【48B115】/수10:30-11:45【48B115】,일반수업,전자전기공학부 2학년 반제,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
